"ID(String)","Name(String)"
AAA,Agent Details
AAB,Associated Business Areas
AAC,Borrower
AAD,Nationality Details
AAE,Assets
AAF,Liabilities
AAH,Additional Facility Details
AAI,Exemption Law Location Description
AAJ,Forecast Details
AAK,Import and Export Details
AAL,Inventory Valuation
AAM,Product Brands Sold Description
AAN,Purchase Territory
AAO,Responsibilities
AAP,Supplier Description
AAQ,Education Description
AAR,Liquidity Details
AAS,Former Activity Description
AAT,Division Description
ABN,Abbreviated Nomenclature
ACC,Access Instructions
ACI,Additional Claim Information
ACN,Action Taken
ACS,Actual Solution
ACT,Action
ADD,Additional Information
AES,Actual Evaluation Summary
AET,Adverse Event Terms
AFA,Description
AFB,Generic Chemical Name
AFC,Prevention Program Description
AFD,Risk Management Plan Description
AFE,Safety Comments
AFF,Summary
ALG,Allergies
ALL,All Documents
ALT,Alerts
AMN,Additional Manufacturer Narrative
AOO,Area of Operation
APN,Application Notes
APS,Appropriation Specifications
BBD,Bank Description
BBF,Business Founder
BBH,Business History
BBN,Banking Notes
BBO,Business Origin Description
BBT,Brand Names
BFD,Business Financing Details
BOL,Bill of Lading Note
BUR,Bureau Remarks
CAA,Authentication Information
CAB,Line of In-State Business
CAC,Relationship Information
CAD,Basis for Amount Due
CAE,Type of Debt
CAF,Land Use Purpose
CAG,Land Description
CAH,Basis of Calculation
CAI,General Business Description
CAJ,Type of Business
CAK,Character of Business
CAL,Representation of Value
CAM,"Supporting Statement
CAN,Cooperative Corporation Statement
CAO,Close Corporation Statement
CAP,Agreement to Abide by Laws
CAQ,Stock Restrictions
CAR,Other Related Information
CAS,Prohibition Against Being an Officer
CAT,Qualification of Director
CAU,Nature of Charter
CAV,Statement of Assets and Liabilities
CAW,Bankruptcy Information
CAX,Certificate of Disclosure
CAZ,Asset Detail
CBA,Statement Related to Regulation
CBB,Consideration to be Received
CBC,Other Lawful Provisions
CBH,Monetary Amount Description
CBI,Description of Title
CCA,Competition
CCB,Construction Details
CCC,Construction Financing
CCD,Construction Line of Business
CCE,Contract Details
CCF,Corporate Filing Details
CCG,Customer Description
CCN,Copyright Notice
CDD,Contingent Debt Details
CER,Certification Narrative
CHG,Change
CIG,Cigarette Information
CIR,Circumstances Prior to Difficulty
CLN,Classifying Information
CLR,Security Clearance Instructions
CMP,Concomitant Medical Product Description
CMT,Maintenance Comment
COD,Corrected Data
COM,Consumer Comments
CON,Conviction Act Details
CRA,Credit Report Alerts
CRK,Closing Comment
CRN,Credit Report Notes
CUS,Customs declaration
DCP,"Goals
DCS,Destination Control Statement
DDC,Deficiency Description Changes
DEE,Event Description
DEL,Delivery
DEP,Problem Description
