"ID(String)","Name(String)"
00,Hospital/Homebound Individuals
01,Discrete Quantity
02,Cumulative Quantity
03,Discreet Quantity - Rejected Material
04,Discrete Quantity - Rejected Material: Disposition Replacement
05,Discrete Quantity - Rejected Material: Disposition Credit
06,Discrete Quantity - Rejected Material: Disposition Pending
07,Cumulative Quantity - Rejected Material
08,Cumulative Quantity - Rejected Material: Disposition Replacement
09,Cumulative Quantity - Rejected Material: Disposition Credit
0A,Number of Hours Per Day
0B,Number of Hours Per Week
0C,Number of Months Per Year
0D,Number of Periods Per Week
0F,Number of Hours Per Year
0G,Pre-Kindergarten Students
0H,First Grade Students
0I,Second Grade Students
0J,Third Grade Students
0K,Fourth Grade Students
0L,Fifth Grade Students
0M,Sixth Grade Students
0N,Seventh Grade Students
0O,Eighth Grade Students
0P,Ninth Grade Students
0Q,Carnegie Units
0R,Number of Disability Types
0S,Number of Males
0T,Number of Females
0U,Individuals with Multiple Disabilities
0V,Individuals with Serious Emotional Disturbance
0W,Individuals with Speech or Language Impairment
0X,Individuals with Traumatic Brain Injury
0Y,Blind Individuals
0Z,Deaf Individuals
10,Cumulative Quantity - Rejected Material: Disposition Pending
11,Split Quantity
12,Ship Notice Quantity
13,Collateral Requirements
14,Quantity in Float
15,Quantity in Hold Out
16,Line Thread Quantity
17,Quantity on Hand
18,Previous Week Quantity
19,Unverified Receipts
1A,Original Duration (in calendar units)
1B,Current Duration (in calendar units)
1C,Remaining Duration (in calendar units)
1D,Total Float (in calendar units)
1E,Free Float (in calendar units)
1F,Lag (as in Lag Time - in calendar units)
1G,Lead Time (in calendar units)
1H,Started
1I,Completed
1J,Due
1K,Time Units
1L,Shifts
1M,Time units per shift
1N,Scrap allowed
1O,Calendar Units
1P,Resource (Quantity) available
1Q,Total Resource (Quantity)
1R,Level Resource (Quantity)
1S,Late
1T,Number of Delinquent Installments
1U,Number of Loans
1V,Total Number of Mortgagees
1W,Total Number of Loan Detail Records
1X,Prescription Effective Period
1Y,Rate Per Day (RPD)
1Z,End Of Month Inventory Prior To Ship
20,Unusable Quantity
21,Cumulative Quantity Shipped Short - Disposition Pending
22,Cumulative Quantity Shipped Short - Disposition Challenged
23,Cumulative Quantity Shipped Long - Disposition Pending
24,Cumulative Quantity Shipped Long - Disposition Challenged
25,OEM Inventory
26,Total Inventory
27,Committed Quantity
28,Quantity Available for Return
29,Projected Available Inventory
2A,Commitment Period
2B,Number of Borrowers
2C,Number of Adjustment Periods
2D,Age Nearest
2E,Total Other Properties Owned and Financed
2F,Age Next
2G,Reconsideration Period
2H,Flat Extra Premium
2I,CO2 Injection Volume
2J,Accounts Placed for Collection
2K,Changes
2L,Companies in Same Activity for a Period
2M,Comparison Period
2N,Departments
2O,Employees Shared
2P,Estimated Accounts
2Q,Installed Capacity
2R,Levels Occupied
2S,Registered Brands Distributed
2T,Electronic Signatures
2U,Bytes
2V,Employed at this Location
2W,Segments
2X,Registered Brands Manufactured
2Y,Functional Groups
2Z,Transaction Sets
30,Quote Quantity on Inventory
31,Additional Demand Quantity
32,Quantity Sold
33,Quantity Available for Sale (stock quantity)
34,Noncommitted Inventory on Shelf
35,Inventory on Shelf + Work in Progress
36,Distributor Inventory
37,Work In Process
38,Original Quantity
39,Shipped Quantity
3A,Total Credits Accepted
3B,Total Credits Rejected
3C,Total Debits Accepted
3D,Total Debits Rejected
3E,Total Payments Rejected
3F,Total Pre-advices Accepted
3G,Total Pre-advices Rejected
3H,Total Prenotes Accepted
3I,Total Prenotes Rejected
3J,Total Post-advices Accepted
3K,Total Post-advices Rejected
3L,Total Unidentified Transactions Rejected
3M,Total Credits Received
3N,Total Debits Received
3O,Individuals with Noncategorical Preschool Disability
3P,Total Pre-advices Received
3Q,Total Prenotes Received
3R,Total Post-advices Received
3S,Total Debits
3T,Total Credits
3V,Minimum Transfer
3W,Maximum Transfer
3X,Speed Capacity
3Y,Subcontractors
3Z,Students
40,Remaining Quantity
41,Number of Batches
42,Number of Checks
43,Talk Paths
44,Number of Patient Admissions
45,Cumulative quantity on order
46,Total transactions
47,Primary Net Quantity
48,Secondary Net Quantity
49,Number of Signed Bills of Lading
4A,Accounts
4B,Agents
4C,Authorized Shares
4D,Clerks
4E,Design Employees
4F,Foreign Related Entities
4G,Group Employees
4H,Issued Shares
4I,Laborers
4J,Other Employee Type
4K,Part Time Employees
4L,Related Entities
4M,Relatives Employed
4N,Salespersons
4O,Space Occupied
4P,Special Partners
4Q,Suppliers' Credit
4R,Technicians
4S,Trainees
4T,Warehouse Employees
4U,Shareholders
4V,Available Units
4W,Total Unduplicated Headcount
4X,Meals Per Week
4Y,Programs Offered
4Z,Typical Credit Hours Taken per Graduate Student (Full Time)
50,Number of Copies of Bill of Lading
51,Number of Unsigned Bills of Lading
52,Number of Originals
53,Original payment item count.
54,Bank reject item count.
55,Net to pay item count.
56,Minimum Contract Quantity
57,Minimum Order Quantity
58,Payment Cancellation Item Count
59,Individuals with Developmental Delay
5A,Aggregate Benefit Period
5B,Anticipated Length of Service
5C,Approval/Offer Duration
5D,Benefit Amount
5E,Benefit Period
5F,Brothers Deceased
5G,Brothers Living
5H,Children
5I,Citations
5J,Claim Period
5K,Coverage
5L,Elimination Period
5M,Elimination Period - Accident
5N,Elimination Period - Sickness
5O,Employees - Nonowner
5P,Employees - Owner
5Q,Employees - Part Time
5R,Employees - Same Duties
5S,Employees - Same Occupation
5T,Expense
5U,Frequency
5V,General Elimination Period
5W,Guarantee Period
5X,Height
5Y,Hours Flown - Aircraft Type/Life
5Z,Hours Flown - Aircraft Type/Period
60,Total Authorized Quantity
61,Remaining Authorized Quantity
62,Number of Days Covered by Inventory
63,On Order Quantity
64,Past Due Quantity
65,Previous Month's Usage
66,Minimum Fabrication Quantity
67,Minimum Ship Quantity
68,Maximum Number of Shipments Allowed
69,Incremental Order Quantity
6A,Hours Flown - Aircraft/Type Flying
6B,Hours Flown - Lifetime
6C,Hours Flown - Type Flying
6D,Impairment Duration
6E,Impairment Frequency
6F,Installment Frequency
6G,Installments
6H,Intended Change Time Period
6I,Interim Term Period
6J,Involvement Period
6K,Loan Rate
6L,Maximum Age
6M,Maximum Benefit Period - Accident
6N,Maximum Benefit Period - Sickness
6O,Maximum Benefit Period
6P,Medication Duration
6Q,Minimum Age
6R,Own Occupation Qualification Period
6S,Owner's Equity
6T,Ownership Change Age
6U,Ownership Duration
6V,Ownership Percentage
6W,Payment Frequency
6X,Payments Number
6Y,Arrests
6Z,Placement Period Expiration
70,Maximum Order Quantity
71,Educable Mentally Retarded Individuals
72,Minimum Stock Level
73,Maximum Stock Level
74,Damaged Goods
75,Receipts
76,Returns
77,Stock Transfers In
78,Stock Transfers Out
79,Billing Unit(s) Per Pricing Unit
7A,Previous Benefits
7B,Qualification Period
7C,Range Average
7D,Range Maximum
7E,Range Minimum
7F,Relationship Duration
7G,Replaced Amount
7H,Residence Duration
7I,Sisters Deceased
7J,Sisters Living
7K,Time Frame
7L,Time in Country
7M,Time Since Hospitalization
7N,Time Since Last Application
7O,Time Since Last Civilian Flight
7P,Time Since Last Insurance Medical
7Q,Time Since Last Military Flight
7R,Time Since Medical Consult
7S,Time Since Medication End
7T,Time Since Medication Start
7U,Time Since Onset
7V,Time Since Surgery
7W,Time Since Trip
7X,Travel Frequency
7Y,Travel Period
7Z,Trip Duration
80,Pricing Unit(s) Per Billing Unit
81,Prepaid Quantity Shipped
82,Prepaid Quantity Not Shipped
83,Submitted Quantity Sold
84,Submitted Quantity Returned
85,Lot Size
86,Nonconformance Quantity
87,Quantity Received
88,Beds
89,Operating Beds
8A,Visitation Frequency
8B,Weight
8C,Weight Change Period
8D,Work Period
8E,Existence Limit Period
8F,Shares
8G,Directors
8H,Minimum
8I,Voting Shares Held
8J,Outstanding Shares
8K,Shares Held as Treasury Stock
8L,Shares Subscribed but Not Issued
8M,Total Shares of Stock
8N,Shares Owned by In-State Residents
8O,Shares Owned by Out-of-State Residents
8P,Partners
8Q,Land Holding
8R,Non-Domestic Stockholders
8S,Shares Subscribed
8T,Maximum Number Free Miles
8U,Typical Credit Hours Taken per Undergraduate Student (Full Time)
8V,Typical Credit Hours Taken per First-Professional Student (Full Time)
8W,Full-time Equivalents
8X,Total Credit Hours
8Y,Total Non-Credit Hours
8Z,Total Contact Hours
90,Acknowledged Quantity
